,date_2,admin1Pcod_2,admin1Name_2,trip_num,tour_num,id_num,tour_traj_distance_1,tour_traj_distance_2,trip_traj_distance_1,trip_traj_distance_2,time_range,date,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,admin1Name_2.1,admin1_inflow_trip_count,id_num.1,trip_distance_sum,admin1_inflow_trips_per_person,admin1_inflow_trip_miles_per_person,admin1Name_2.2,admin1_inbound_admin2_crossbound_trip_count,id_num.2,trip_distance_sum.1,admin1_inbound_admin2_crossbound_trips_per_person,admin1_inbound_admin2_crossbound_trip_miles_per_person,admin1Name_2.3,admin2_inbound_trip_count,id_num.3,trip_distance_sum.2,admin2_inbound_trips_per_person,admin2_inbound_trip_miles_per_person,0_14_pct,15_64_pct,65p_pct,M_pct,Population,sample_rate_2,rwi,rwi_pctl,new_cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5,date_2_index
0,2020-01-01,ZA7,Gauteng,141878,71072,40615,9102117999.577246,9102285796.825548,2482497286.6289587,2482497286.6289587,413079542,20200101,37.97986701264515,139.2538203442622,48.525204988323296,169.5102556526735,3.493241413270959,Gauteng,3620.0,3477.0,1053699148.182504,1.0411274086856486,188.3055208414224,Gauteng,14283.0,7865.0,538413620.3892177,1.8160203432930704,42.53715361958901,Gauteng,123975.0,36691.0,890384518.0572335,3.3788940067046416,15.078882819625717,0.2270393688635094,0.7223349844212468,0.0506256467152438,0.5123439321519871,14760167.0,0.0027516626336273,0.6706237180439658,1.0,0.0,0,0,0,1,0,0,0,0,0,0 days
1,2020-01-01,ZA6,North West,17000,8099,5060,1575438032.8674002,1575339642.610462,316434743.2075498,316434743.2075498,56564354,20200101,38.85838609727072,193.46478434364752,55.45524901960785,186.31210144927536,3.359683794466404,North West,1630.0,1523.0,167384498.62204796,1.0702560735390676,68.29146780750513,North West,149.0,107.0,20025278.834541507,1.3925233644859814,116.2909475168608,North West,15221.0,4365.0,129024965.75096051,3.4870561282932417,18.367101213529327,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.0013021557110593,-0.0467738815769532,0.1111111111111111,0.0,0,0,0,1,0,0,0,0,0,0 days
3,2020-01-01,ZA2,Eastern Cape,30561,13101,8312,5205849187.114279,5205871809.171155,507653095.8572816,507653095.8572816,91746491,20200101,37.95007331759055,389.1680360929928,50.03462528494923,183.96392965992945,3.6767324350336863,Eastern Cape,436.0,422.0,142680203.01615095,1.033175355450237,210.08854942372173,Eastern Cape,1284.0,924.0,124319967.48544744,1.3896103896103895,83.60264763564834,Eastern Cape,28833.0,7834.0,240610911.0357493,3.680495276997702,19.084591352514,0.3224085890309294,0.600977358291188,0.0766140526778824,0.4755901564412202,6510816.0,0.0012766448936661,-0.0466675482737358,0.2222222222222222,0.0,0,0,0,1,0,0,0,0,0,0 days
4,2020-01-01,ZA3,Nothern Cape,5068,2502,1481,703469445.9509159,703346415.7180007,141098072.36445022,141098072.36445022,18937409,20200101,59.19937707460368,295.14898604527843,62.27771967903183,213.1151136619401,3.4220121539500337,Nothern Cape,209.0,192.0,79566525.75469294,1.0885416666666667,257.50180713737547,Nothern Cape,84.0,69.0,19452232.306263786,1.2173913043478262,175.1747359394306,Nothern Cape,4775.0,1337.0,42079314.303493485,3.571428571428572,19.55637524105553,0.2905180543789262,0.6449880916225764,0.0644938539984974,0.5008080113808923,1251220.0,0.0011836447627115,0.0995845672339362,0.6666666666666666,0.0,0,0,0,1,0,0,0,0,0,0 days
5,2020-01-01,ZA9,Limpopo,16525,7697,4785,1668072455.502696,1668067808.4572258,255309219.1494388,255309219.1494388,58264862,20200101,33.15397991474808,216.6127837855732,58.764359051941504,202.942744688262,3.45350052246604,Limpopo,454.0,433.0,82882245.61297096,1.048498845265589,118.93912187491756,Limpopo,328.0,249.0,33768525.64485377,1.3172690763052208,84.26822907646495,Limpopo,15743.0,4472.0,138658447.89161408,3.520348837209302,19.266181815785,0.3322212084583728,0.5982309127294063,0.0695478788122209,0.4710748930256002,5527257.0,0.0008657097001279,-0.0202992168756396,0.3333333333333333,0.0,0,0,0,1,0,0,0,0,0,0 days
6,2020-01-01,ZA1,Western Cape,124913,52843,32293,21371183779.34524,21371042281.650795,1992658845.6606348,1992658845.6606348,327753321,20200101,38.342080409079934,411.2172280213953,43.73087949212652,169.15601988046947,3.868113832719165,Western Cape,510.0,502.0,435930081.40305424,1.0159362549800797,539.5904271185933,Western Cape,5149.0,3413.0,492455262.4787643,1.5086434222092002,89.65646456782274,Western Cape,119183.0,31185.0,1063889911.6857224,3.821805355138689,21.198349938541902,0.2414643088100414,0.6902282722160927,0.0683074189738658,0.4994387746892386,6898299.0,0.0046812989694995,0.4849515672799264,0.8888888888888888,0.0,0,0,0,1,0,0,0,0,0,0 days
7,2020-01-01,ZA8,Mpumalanga,20233,9557,5771,2028504721.643979,2028512779.088379,366279725.72655606,366279725.72655606,64955185,20200101,39.437821844927015,218.4117825934813,53.50597621048123,187.5907843816785,3.5059781666955465,Mpumalanga,828.0,806.0,147402679.24508893,1.0272952853598014,113.63744235917896,Mpumalanga,363.0,266.0,38213930.58939692,1.3646616541353382,89.26705116694843,Mpumalanga,19042.0,5257.0,180663115.89207008,3.622217995054213,21.354166961226404,0.3021978541526616,0.6444398558234767,0.0533622900238615,0.4955341209781855,4547481.0,0.001269054230243,0.0523010419666447,0.4444444444444444,0.0,0,0,0,1,0,0,0,0,0,0 days
8,2020-01-01,ZA5,KwaZulu-Natal,57811,26573,16173,7248543594.043543,7248601486.170113,963837093.730862,963837093.730862,173422031,20200101,37.03089124182977,278.49107617727856,49.996837683716485,178.71558667738412,3.5745378099301304,KwaZulu-Natal,510.0,487.0,246810104.06204224,1.0472279260780288,314.9090115343976,KwaZulu-Natal,2785.0,1847.0,242314959.43055612,1.5078505684894423,81.5200515637823,KwaZulu-Natal,54505.0,15350.0,474585496.1625712,3.550814332247557,19.21131958104779,0.3109682093283005,0.6320226943362347,0.0570090963354647,0.4797594466393526,10418811.0,0.0015522884521084,0.0773518610798229,0.5555555555555556,0.0,0,0,0,1,0,0,0,0,0,0 days
9,2020-01-01,ZA4,Free State,16353,8362,4893,1702420343.490491,1702420343.490491,364034743.2139177,364034743.2139177,52189041,20200101,46.22945072688408,216.1935333177556,53.190078273099736,177.76769875332107,3.342121397915389,Free State,1231.0,1110.0,212096702.5739236,1.109009009009009,118.73043328645592,Free State,296.0,217.0,36963184.30643588,1.3640552995391706,105.8426631399925,Free State,14826.0,4176.0,114974856.33355837,3.550287356321839,17.10777384034946,0.2811459389976806,0.6555271573171474,0.0633269036851719,0.4905192097314189,2663702.0,0.0018369171926889,0.2248492570676798,0.7777777777777778,0.0,0,0,0,1,0,0,0,0,0,0 days
10,2020-01-02,ZA9,Limpopo,24881,10904,5736,2460288904.1973085,2460327152.300744,413903046.0264533,413903046.0264533,106047362,20200102,44.83741791843121,266.51894171014044,71.03637447583833,308.1338970246397,4.337691771269177,Limpopo,699.0,669.0,160315186.79473788,1.0448430493273542,148.90170217099725,Limpopo,502.0,344.0,55032219.61444406,1.4593023255813953,99.40533695724972,Limpopo,23680.0,5349.0,198555639.61727133,4.426995700130866,23.06538689744444,0.3322212084583728,0.5982309127294063,0.0695478788122209,0.4710748930256002,5527257.0,0.0010377661107489,-0.0202992168756396,0.3333333333333333,0.0,0,0,0,1,0,0,0,0,0,1 days
11,2020-01-02,ZA6,North West,25066,11469,5971,2317076235.8515987,2317076235.8515987,458813100.8280603,458813100.8280603,89008745,20200102,47.746314432363086,241.1261804012564,59.18292042341552,248.44734271199687,4.19795679115726,North West,1817.0,1694.0,253239271.4423712,1.0726092089728454,92.8899575073554,North West,187.0,139.0,29383107.863570005,1.3453237410071943,131.3511997469401,North West,23062.0,5219.0,176190721.52211913,4.41885418662579,20.97716778949133,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.0015365952076552,-0.0467738815769532,0.1111111111111111,0.0,0,0,0,1,0,0,0,0,0,1 days
12,2020-01-02,ZA1,Western Cape,173749,71045,36984,28544354495.305767,28544377818.600952,2806345112.398797,2806345112.398797,538015267,20200102,47.14963249839541,479.57602164160846,51.60847611592968,242.4540643701781,4.697950465065975,Western Cape,731.0,710.0,567596588.15133,1.0295774647887324,496.7438995625844,Western Cape,7489.0,4597.0,790270593.168305,1.629105938655645,106.81996533980744,Western Cape,165448.0,35792.0,1447498468.24975,4.622485471613769,25.12946605325385,0.2414643088100414,0.6902282722160927,0.0683074189738658,0.4994387746892386,6898299.0,0.0053613216823451,0.4849515672799264,0.8888888888888888,0.0,0,0,0,1,0,0,0,0,0,1 days
