"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","","date_2"
"1","log.new_cases.per1M","(Intercept)",-0.3043,0.7234,1066,-0.4207,0.6741,0,"",2020-03-05
"2","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0033,0.012,1066,0.275,0.7834,0.0032,"",2020-03-05
"3","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.0222,0.02,1066,1.1085,0.2679,0.022,"",2020-03-05
"4","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",-0.0276,0.0236,1066,-1.1668,0.2435,-0.0194,"",2020-03-05
"5","log.new_cases.per1M","l1.log.new_cases.per1M",0.9497,0.0109,1066,87.2287,0,0.9372,"***",2020-03-05
"6","log.new_cases.per1M","weekend",0.0282,0.0344,1066,0.8187,0.4131,0.008,"",2020-03-05
"7","log.new_cases.per1M","rwi",0.1184,0.1037,5,1.1417,0.3053,0.0177,"",2020-03-05
"8","log.new_cases.per1M","X65p_pct",4.0306,2.5199,5,1.5995,0.1706,0.0196,"",2020-03-05
"9","log.new_cases.per1M","M_pct",0.5119,1.4104,5,0.3629,0.7315,0.0048,"",2020-03-05
"10","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-4.786,2.1609,1041,-2.2148,0.027,0,"*",2020-03-05
"11","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",-0.025,0.0247,1041,-1.0131,0.3112,-0.0188,"",2020-03-05
"12","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.6035,0.0239,1041,25.2093,0,0.6052,"***",2020-03-05
"13","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.496,0.2422,29,-2.0479,0.0497,-0.0773,"*",2020-03-05
"14","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-9.7416,7.4753,29,-1.3032,0.2028,-0.0494,"",2020-03-05
"15","l3.log.admin1_inflow_trip_count.per1M","M_pct",14.2493,3.9958,29,3.566,0.0013,0.1396,"**",2020-03-05
"16","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2125,0.0216,1041,-9.8591,0,-0.0627,"***",2020-03-05
"17","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.2704,1.6047,1041,3.9076,1e-04,0,"***",2020-03-05
"18","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",-0.0788,0.0327,1041,-2.4087,0.0162,-0.0444,"*",2020-03-05
"19","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4153,0.0262,1041,15.823,0,0.4167,"***",2020-03-05
"20","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.4342,0.205,29,11.8765,0,0.3661,"***",2020-03-05
"21","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-2.8899,5.381,29,-0.5371,0.5953,-0.0142,"",2020-03-05
"22","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-7.783,2.8439,29,-2.7367,0.0105,-0.0736,"*",2020-03-05
"23","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2933,0.0221,1041,-13.3012,0,-0.0835,"***",2020-03-05
"24","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.8727,1.1171,1041,2.5716,0.0103,0,"*",2020-03-05
"25","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.2287,0.031,1041,-7.3747,0,-0.1584,"***",2020-03-05
"26","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.2501,0.0266,1041,9.4114,0,0.2514,"***",2020-03-05
"27","l22.log.admin2_inbound_trip_count.per1M","rwi",1.4278,0.1282,29,11.139,0,0.3026,"***",2020-03-05
"28","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",8.8791,3.6674,29,2.4211,0.022,0.0613,"*",2020-03-05
"29","l22.log.admin2_inbound_trip_count.per1M","M_pct",5.6335,1.9271,29,2.9234,0.0067,0.0751,"**",2020-03-05
"30","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3113,0.0193,1041,-16.1623,0,-0.1249,"***",2020-03-05
"31","log.new_cases.per1M","(Intercept)",-0.2749,0.7236,1066,-0.3799,0.7041,0,"",2020-03-06
"32","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0041,0.012,1066,0.3389,0.7348,0.0038,"",2020-03-06
"33","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.0223,0.02,1066,1.1165,0.2644,0.0218,"",2020-03-06
"34","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",-0.0267,0.0236,1066,-1.1284,0.2594,-0.0185,"",2020-03-06
"35","log.new_cases.per1M","l1.log.new_cases.per1M",0.9501,0.0107,1066,88.4899,0,0.9386,"***",2020-03-06
"36","log.new_cases.per1M","weekend",0.026,0.0345,1066,0.7551,0.4504,0.0073,"",2020-03-06
"37","log.new_cases.per1M","rwi",0.1177,0.1036,5,1.1367,0.3072,0.0174,"",2020-03-06
"38","log.new_cases.per1M","X65p_pct",4.0295,2.5193,5,1.5994,0.1706,0.0194,"",2020-03-06
"39","log.new_cases.per1M","M_pct",0.4342,1.4108,5,0.3077,0.7707,0.004,"",2020-03-06
"40","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-4.7576,2.1503,1041,-2.2125,0.0271,0,"*",2020-03-06
"41","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",-0.0282,0.0242,1041,-1.1647,0.2444,-0.0215,"",2020-03-06
"42","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.6059,0.0239,1041,25.3102,0,0.6074,"***",2020-03-06
"43","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.4953,0.241,29,-2.0548,0.049,-0.0774,"*",2020-03-06
"44","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-9.8225,7.4387,29,-1.3205,0.197,-0.05,"",2020-03-06
"45","l3.log.admin1_inflow_trip_count.per1M","M_pct",14.1912,3.9767,29,3.5686,0.0013,0.1394,"**",2020-03-06
"46","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.212,0.0216,1041,-9.8363,0,-0.0627,"***",2020-03-06
"47","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.2851,1.6041,1041,3.9181,1e-04,0,"***",2020-03-06
"48","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",-0.077,0.0324,1041,-2.3726,0.0178,-0.0443,"*",2020-03-06
"49","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4139,0.0262,1041,15.7825,0,0.415,"***",2020-03-06
"50","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.4418,0.2048,29,11.9216,0,0.3682,"***",2020-03-06
"51","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-2.9822,5.3792,29,-0.5544,0.5836,-0.0146,"",2020-03-06
"52","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-7.7938,2.8427,29,-2.7417,0.0104,-0.0739,"*",2020-03-06
"53","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2939,0.0221,1041,-13.3241,0,-0.0839,"***",2020-03-06
"54","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.8871,1.1106,1041,2.5996,0.0095,0,"**",2020-03-06
"55","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.227,0.031,1041,-7.3293,0,-0.1602,"***",2020-03-06
"56","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.2496,0.0266,1041,9.3879,0,0.2508,"***",2020-03-06
"57","l22.log.admin2_inbound_trip_count.per1M","rwi",1.4252,0.1274,29,11.1882,0,0.3035,"***",2020-03-06
"58","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",8.7508,3.6416,29,2.403,0.0229,0.0607,"*",2020-03-06
"59","l22.log.admin2_inbound_trip_count.per1M","M_pct",5.6288,1.9138,29,2.9411,0.0064,0.0754,"**",2020-03-06
"60","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3107,0.0193,1041,-16.1238,0,-0.1252,"***",2020-03-06
"61","log.new_cases.per1M","(Intercept)",-0.2709,0.7244,1066,-0.3739,0.7085,0,"",2020-03-07
"62","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0045,0.012,1066,0.3766,0.7065,0.0042,"",2020-03-07
