"","Response","family","link","method","Marginal","Conditional","date_2"
"1","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-03-05
"2","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-03-05
"3","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.94,2020-03-05
"4","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.92,2020-03-05
"5","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-03-06
"6","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-03-06
"7","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.94,2020-03-06
"8","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.92,2020-03-06
"9","log.new_cases.per1M","gaussian","identity","none",0.9,0.9,2020-03-07
"10","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-03-07
"11","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.94,2020-03-07
"12","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.92,2020-03-07
"13","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-03-08
"14","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-03-08
"15","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.94,2020-03-08
"16","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.32,0.92,2020-03-08
"17","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-03-09
"18","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-03-09
"19","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.94,2020-03-09
"20","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.32,0.92,2020-03-09
"21","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-03-10
"22","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-03-10
"23","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.94,2020-03-10
"24","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.31,0.92,2020-03-10
"25","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-03-11
"26","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.7,0.93,2020-03-11
"27","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.61,0.95,2020-03-11
"28","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.31,0.92,2020-03-11
"29","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-03-12
"30","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.69,0.93,2020-03-12
"31","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.69,0.95,2020-03-12
"32","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.31,0.92,2020-03-12
"33","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-03-13
"34","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.69,0.93,2020-03-13
"35","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.69,0.95,2020-03-13
"36","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.3,0.92,2020-03-13
"37","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-03-14
"38","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.69,0.93,2020-03-14
"39","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.69,0.95,2020-03-14
"40","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.3,0.92,2020-03-14
"41","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-15
"42","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.69,0.93,2020-03-15
"43","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.69,0.95,2020-03-15
"44","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.3,0.92,2020-03-15
"45","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-16
"46","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.69,0.93,2020-03-16
"47","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.69,0.95,2020-03-16
"48","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.3,0.92,2020-03-16
"49","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-17
"50","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.93,2020-03-17
"51","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-17
"52","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.29,0.94,2020-03-17
"53","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-18
"54","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-18
"55","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-18
"56","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.41,0.94,2020-03-18
"57","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-19
"58","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-19
"59","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-19
"60","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.41,0.93,2020-03-19
"61","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-20
"62","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-20
"63","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-20
"64","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.41,0.93,2020-03-20
"65","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-03-21
"66","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.93,2020-03-21
"67","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-03-21
"68","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.4,0.93,2020-03-21
