"","X.Intercept.","date_2","sub_model","lockdown_level","se"
"0",0.458530426972965,2020-03-05,"model_4","0",0.0237926844922342
"3",0.441559985777461,2020-03-05,"model_4","3",0.0237926844922342
"4",0.250411463264315,2020-03-05,"model_4","4",0.0237926844922342
"5",-1.15050187601475,2020-03-05,"model_4","5",0.0237926844922342
"01",0.457004516972742,2020-03-06,"model_4","0",0.0236878503947277
"31",0.446092253173561,2020-03-06,"model_4","3",0.0236878503947277
"41",0.248599929602225,2020-03-06,"model_4","4",0.0236878503947277
"51",-1.15169669974853,2020-03-06,"model_4","5",0.0236878503947277
"02",0.457482970594234,2020-03-07,"model_4","0",0.0235179651148082
"32",0.449773835615595,2020-03-07,"model_4","3",0.0235179651148082
"42",0.241199850580586,2020-03-07,"model_4","4",0.0235179651148082
"52",-1.14845665679042,2020-03-07,"model_4","5",0.0235179651148082
"03",0.461259379879806,2020-03-08,"model_4","0",0.0233259883584026
"33",0.448175125287256,2020-03-08,"model_4","3",0.0233259883584026
"43",0.233640484515081,2020-03-08,"model_4","4",0.0233259883584026
"53",-1.14307498968214,2020-03-08,"model_4","5",0.0233259883584026
"04",0.466175037127392,2020-03-09,"model_4","0",0.0234442051437308
"34",0.448206873739301,2020-03-09,"model_4","3",0.0234442051437308
"44",0.233306679741661,2020-03-09,"model_4","4",0.0234442051437308
"54",-1.14768859060839,2020-03-09,"model_4","5",0.0234442051437308
"05",0.491333519815324,2020-03-10,"model_4","0",0.0234173484809945
"35",0.436842191145336,2020-03-10,"model_4","3",0.0234173484809945
"45",0.220535158002013,2020-03-10,"model_4","4",0.0234173484809945
"55",-1.14871086896266,2020-03-10,"model_4","5",0.0234173484809945
"06",0.482206547944753,2020-03-11,"model_4","0",0.023572153133164
"36",0.4411291788969,2020-03-11,"model_4","3",0.023572153133164
"46",0.227616501289826,2020-03-11,"model_4","4",0.023572153133164
"56",-1.15095222813148,2020-03-11,"model_4","5",0.023572153133164
"07",0.489838263703972,2020-03-12,"model_4","0",0.0236242963206385
"37",0.440109720270698,2020-03-12,"model_4","3",0.0236242963206385
"47",0.223222876781482,2020-03-12,"model_4","4",0.0236242963206385
"57",-1.15317086075615,2020-03-12,"model_4","5",0.0236242963206385
"08",0.491058158198923,2020-03-13,"model_4","0",0.0235587887027609
"38",0.439177436637174,2020-03-13,"model_4","3",0.0235587887027609
"48",0.220574862683381,2020-03-13,"model_4","4",0.0235587887027609
"58",-1.15081045751948,2020-03-13,"model_4","5",0.0235587887027609
"09",0.495293510983214,2020-03-14,"model_4","0",0.0234600890978984
"39",0.432896900528342,2020-03-14,"model_4","3",0.0234600890978984
"49",0.216322403470618,2020-03-14,"model_4","4",0.0234600890978984
"59",-1.14451281498218,2020-03-14,"model_4","5",0.0234600890978984
"010",0.500839446488028,2020-03-15,"model_4","0",0.0233722526570932
"310",0.424985621880965,2020-03-15,"model_4","3",0.0233722526570932
"410",0.211494677739821,2020-03-15,"model_4","4",0.0233722526570932
"510",-1.13731974610883,2020-03-15,"model_4","5",0.0233722526570932
"011",0.502117364688046,2020-03-16,"model_4","0",0.0234866536419374
"311",0.425720693091789,2020-03-16,"model_4","3",0.0234866536419374
"411",0.214111122440772,2020-03-16,"model_4","4",0.0234866536419374
"511",-1.14194918022062,2020-03-16,"model_4","5",0.0234866536419374
"012",0.537665960104314,2020-03-17,"model_4","0",0.0243736903238171
"312",0.442812934416843,2020-03-17,"model_4","3",0.0243736903238171
"412",0.201130097434283,2020-03-17,"model_4","4",0.0243736903238171
"512",-1.18160899195547,2020-03-17,"model_4","5",0.0243736903238171
"013",0.428049324666725,2020-03-18,"model_4","0",0.0197280536504069
"313",0.368167311570823,2020-03-18,"model_4","3",0.0197280536504069
"413",0.176383272127221,2020-03-18,"model_4","4",0.0197280536504069
"513",-0.972599908364757,2020-03-18,"model_4","5",0.0197280536504069
"014",0.430673035772164,2020-03-19,"model_4","0",0.0196104211024734
"314",0.360749859432037,2020-03-19,"model_4","3",0.0196104211024734
"414",0.174058169065341,2020-03-19,"model_4","4",0.0196104211024734
"514",-0.965481064269546,2020-03-19,"model_4","5",0.0196104211024734
"015",0.437622160634148,2020-03-20,"model_4","0",0.0194413026341344
"315",0.346275630086625,2020-03-20,"model_4","3",0.0194413026341344
"415",0.170432308115878,2020-03-20,"model_4","4",0.0194413026341344
"515",-0.954330098836648,2020-03-20,"model_4","5",0.0194413026341344
"016",0.437416879728104,2020-03-21,"model_4","0",0.0196200062472297
"316",0.350964343493007,2020-03-21,"model_4","3",0.0196200062472297
"416",0.173183650412562,2020-03-21,"model_4","4",0.0196200062472297
"516",-0.961564873633657,2020-03-21,"model_4","5",0.0196200062472297
"017",0.450499728018221,2020-03-22,"model_4","0",0.0196666904665477
"317",0.33650442097594,2020-03-22,"model_4","3",0.0196666904665477
"417",0.170691314032714,2020-03-22,"model_4","4",0.0196666904665477
"517",-0.957695463026862,2020-03-22,"model_4","5",0.0196666904665477
"018",0.453073294737245,2020-03-23,"model_4","0",0.0198799736304403
"318",0.338968149902873,2020-03-23,"model_4","3",0.0198799736304403
"418",0.173691848254775,2020-03-23,"model_4","4",0.0198799736304403
"518",-0.965733292894906,2020-03-23,"model_4","5",0.0198799736304403
"019",0.479387282159497,2020-03-24,"model_4","0",0.019976993552793
"319",0.322757203039762,2020-03-24,"model_4","3",0.019976993552793
"419",0.168744407962738,2020-03-24,"model_4","4",0.019976993552793
"519",-0.970888893161988,2020-03-24,"model_4","5",0.019976993552793
"020",0.464597736861987,2020-03-25,"model_4","0",0.0193598745472519
"320",0.305410992763173,2020-03-25,"model_4","3",0.0193598745472519
"420",0.166111366595457,2020-03-25,"model_4","4",0.0193598745472519
"520",-0.936120096220611,2020-03-25,"model_4","5",0.0193598745472519
"021",0.466576035012764,2020-03-26,"model_4","0",0.0193947097019093
"321",0.300303109237715,2020-03-26,"model_4","3",0.0193947097019093
"421",0.166858966190613,2020-03-26,"model_4","4",0.0193947097019093
"521",-0.933738110441092,2020-03-26,"model_4","5",0.0193947097019093
"022",0.471790715174753,2020-03-27,"model_4","0",0.0194446254843166
"322",0.29098650196201,2020-03-27,"model_4","3",0.0194446254843166
"422",0.167047748513774,2020-03-27,"model_4","4",0.0194446254843166
"522",-0.929824965650544,2020-03-27,"model_4","5",0.0194446254843166
"023",0.4771881469709,2020-03-28,"model_4","0",0.0194751336307696
"323",0.280735147706538,2020-03-28,"model_4","3",0.0194751336307696
"423",0.167267873735087,2020-03-28,"model_4","4",0.0194751336307696
"523",-0.925191168412511,2020-03-28,"model_4","5",0.0194751336307696
"024",0.481581889573893,2020-03-29,"model_4","0",0.0196197141285324
"324",0.273648577171104,2020-03-29,"model_4","3",0.0196197141285324
"424",0.169303358612462,2020-03-29,"model_4","4",0.0196197141285324
"524",-0.924533825357475,2020-03-29,"model_4","5",0.0196197141285324
"025",0.481000845131389,2020-03-30,"model_4","0",0.0199729404058675
"325",0.282804672851992,2020-03-30,"model_4","3",0.0199729404058675
"425",0.176135085832652,2020-03-30,"model_4","4",0.0199729404058675
"525",-0.939940603816037,2020-03-30,"model_4","5",0.0199729404058675
"026",0.502042763484887,2020-03-31,"model_4","0",0.0202422738448113
"326",0.269926586009853,2020-03-31,"model_4","3",0.0202422738448113
"426",0.17667586897298,2020-03-31,"model_4","4",0.0202422738448113
"526",-0.948645218467715,2020-03-31,"model_4","5",0.0202422738448113
"027",0.488583170593057,2020-04-01,"model_4","0",0.0200136179344715
"327",0.261633368756865,2020-04-01,"model_4","3",0.0200136179344715
"427",0.178851980295479,2020-04-01,"model_4","4",0.0200136179344715
"527",-0.9290685196454,2020-04-01,"model_4","5",0.0200136179344715
"028",0.488365184165064,2020-04-02,"model_4","0",0.0201691528833844
"328",0.25946772512121,2020-04-02,"model_4","3",0.0201691528833844
"428",0.182250546847839,2020-04-02,"model_4","4",0.0201691528833844
"528",-0.930083456134116,2020-04-02,"model_4","5",0.0201691528833844
"029",0.486116263663032,2020-04-03,"model_4","0",0.0203946685177279
"329",0.264636965995452,2020-04-03,"model_4","3",0.0203946685177279
"429",0.187639852985277,2020-04-03,"model_4","4",0.0203946685177279
"529",-0.938393082643768,2020-04-03,"model_4","5",0.0203946685177279
"030",0.479178202853205,2020-04-04,"model_4","0",0.020625460546042
"330",0.276267455175,2020-04-04,"model_4","3",0.020625460546042
"430",0.194400446288134,2020-04-04,"model_4","4",0.020625460546042
"530",-0.949846104316347,2020-04-04,"model_4","5",0.020625460546042
"031",0.473484380814302,2020-04-05,"model_4","0",0.0210200033616315
"331",0.284703168771879,2020-04-05,"model_4","3",0.0210200033616315
"431",0.203269581661314,2020-04-05,"model_4","4",0.0210200033616315
"531",-0.961457131247487,2020-04-05,"model_4","5",0.0210200033616315
"032",0.46302285195618,2020-04-06,"model_4","0",0.0215828065468867
"332",0.300935782508631,2020-04-06,"model_4","3",0.0215828065468867
"432",0.216323655257213,2020-04-06,"model_4","4",0.0215828065468867
"532",-0.980282289722047,2020-04-06,"model_4","5",0.0215828065468867
"033",0.466428505642662,2020-04-07,"model_4","0",0.0218687724941601
"333",0.301646106715079,2020-04-07,"model_4","3",0.0218687724941601
"433",0.223404024569361,2020-04-07,"model_4","4",0.0218687724941601
"533",-0.991478636927106,2020-04-07,"model_4","5",0.0218687724941601
"034",0.443478624472875,2020-04-08,"model_4","0",0.0218212666910058
"334",0.298901405920982,2020-04-08,"model_4","3",0.0218212666910058
"434",0.23123992094785,2020-04-08,"model_4","4",0.0218212666910058
"534",-0.973619951341716,2020-04-08,"model_4","5",0.0218212666910058
"035",0.429509653679539,2020-04-09,"model_4","0",0.0222056218670258
"335",0.30393720420575,2020-04-09,"model_4","3",0.0222056218670258
"435",0.242850782975958,2020-04-09,"model_4","4",0.0222056218670258
"535",-0.976297640861249,2020-04-09,"model_4","5",0.0222056218670258
"036",0.414243938750533,2020-04-10,"model_4","0",0.0226920542703461
"336",0.311586992697041,2020-04-10,"model_4","3",0.0226920542703461
"436",0.255643516877772,2020-04-10,"model_4","4",0.0226920542703461
"536",-0.98147444832535,2020-04-10,"model_4","5",0.0226920542703461
"037",0.393969337746931,2020-04-11,"model_4","0",0.0230589553542002
"337",0.309226867703645,2020-04-11,"model_4","3",0.0230589553542002
"437",0.269985361044738,2020-04-11,"model_4","4",0.0230589553542002
"537",-0.973181566495324,2020-04-11,"model_4","5",0.0230589553542002
"038",0.363441569407831,2020-04-12,"model_4","0",0.0233204563605718
"338",0.311122567184731,2020-04-12,"model_4","3",0.0233204563605718
"438",0.284640840108582,2020-04-12,"model_4","4",0.0233204563605718
"538",-0.959204976701151,2020-04-12,"model_4","5",0.0233204563605718
"039",0.328366828549073,2020-04-13,"model_4","0",0.0238539563890004
"339",0.333155639285502,2020-04-13,"model_4","3",0.0238539563890004
"439",0.3066412688471,2020-04-13,"model_4","4",0.0238539563890004
"539",-0.96816373668168,2020-04-13,"model_4","5",0.0238539563890004
"040",0.262249405046834,2020-04-14,"model_4","0",0.0239598676742033
"340",0.351695457410084,2020-04-14,"model_4","3",0.0239598676742033
"440",0.336940660657406,2020-04-14,"model_4","4",0.0239598676742033
"540",-0.950885523114324,2020-04-14,"model_4","5",0.0239598676742033
"041",0.0859162069956678,2020-04-15,"model_4","0",0.0243140981095605
"341",0.400402791129304,2020-04-15,"model_4","3",0.0243140981095605
"441",0.398365558887179,2020-04-15,"model_4","4",0.0243140981095605
"541",-0.884684557012156,2020-04-15,"model_4","5",0.0243140981095605
"042",-0.198064074439072,2020-04-16,"model_4","0",0.027800826880964
"342",0.539507115575526,2020-04-16,"model_4","3",0.027800826880964
"442",0.535094993484003,2020-04-16,"model_4","4",0.027800826880964
"542",-0.876538034620461,2020-04-16,"model_4","5",0.027800826880964
"043",-0.158426747263415,2020-04-17,"model_4","0",0.0268012879857729
"343",0.516712931630087,2020-04-17,"model_4","3",0.0268012879857729
